id,label,shape,color,grid,loads
AH2 YN,AH2 YN,circle,BLUE,YANBU NORTH,25 A
AH4 YN,AH4 YN,circle,BLUE,YANBU NORTH,26 A
AH5 YN,AH5 YN,circle,BLUE,YANBU NORTH,27 A
AH6 YN,AH6 YN,circle,BLUE,YANBU NORTH,28 A
AH7 YN,AH7 YN,circle,BLUE,YANBU NORTH,29 A
AH9 YN,AH9 YN,circle,BLUE,YANBU NORTH,30 A
AH10 YN,AH10 YN,circle,BLUE,YANBU NORTH,31 A
AH11 YN,AH11 YN,circle,BLUE,YANBU NORTH,32 A
AH12 YN,AH12 YN,circle,BLUE,YANBU NORTH,33 A
AH13 YN,AH13 YN,circle,BLUE,YANBU NORTH,34 A
AH15 YN,AH15 YN,circle,BLUE,YANBU NORTH,35 A
AH16 YN,AH16 YN,circle,BLUE,YANBU NORTH,36 A
AH17 YN,AH17 YN,circle,BLUE,YANBU NORTH,37 A
AH18 YN,AH18 YN,circle,BLUE,YANBU NORTH,38 A
AH19 YN,AH19 YN,circle,BLUE,YANBU NORTH,39 A
AH21 YN,AH21 YN,circle,BLUE,YANBU NORTH,40 A
AH22 YN,AH22 YN,circle,BLUE,YANBU NORTH,41 A
AH23 YN,AH23 YN,circle,BLUE,YANBU NORTH,42 A
AH24 YN,AH24 YN,circle,BLUE,YANBU NORTH,43 A
AH26 YN,AH26 YN,circle,BLUE,YANBU NORTH,44 A
AH29 YN,AH29 YN,circle,BLUE,YANBU NORTH,45 A
AH31 YN,AH31 YN,circle,BLUE,YANBU NORTH,46 A
AH32 YN,AH32 YN,circle,BLUE,YANBU NORTH,47 A
AH33 YN,AH33 YN,circle,BLUE,YANBU NORTH,48 A
AH34 YN,AH34 YN,circle,BLUE,YANBU NORTH,49 A
AH36 YN,AH36 YN,circle,BLUE,YANBU NORTH,50 A
AH37 YN,AH37 YN,circle,BLUE,YANBU NORTH,51 A
AH38 YN,AH38 YN,circle,BLUE,YANBU NORTH,52 A
AH39 YN,AH39 YN,circle,BLUE,YANBU NORTH,53 A
AH4 YN2,AH4 YN2,circle,YELLOW,YANBU NORTH2,54 A
AH5 YN2,AH5 YN2,circle,YELLOW,YANBU NORTH2,55 A
AH6 YN2,AH6 YN2,circle,YELLOW,YANBU NORTH2,56 A
AH7 YN2,AH7 YN2,circle,YELLOW,YANBU NORTH2,57 A
AH10 YN2,AH10 YN2,circle,YELLOW,YANBU NORTH2,58 A
AH11 YN2,AH11 YN2,circle,YELLOW,YANBU NORTH2,59 A
AH12 YN2,AH12 YN2,circle,YELLOW,YANBU NORTH2,60 A
AH13 YN2,AH13 YN2,circle,YELLOW,YANBU NORTH2,61 A
AH14 YN2,AH14 YN2,circle,YELLOW,YANBU NORTH2,62 A
AH15 YN2,AH15 YN2,circle,YELLOW,YANBU NORTH2,63 A
AH20 YN2,AH20 YN2,circle,YELLOW,YANBU NORTH2,64 A
AH21 YN2,AH21 YN2,circle,YELLOW,YANBU NORTH2,65 A
AH22 YN2,AH22 YN2,circle,YELLOW,YANBU NORTH2,66 A
AH23 YN2,AH23 YN2,circle,YELLOW,YANBU NORTH2,67 A
AH24 YN2,AH24 YN2,circle,YELLOW,YANBU NORTH2,68 A
AH25 YN2,AH25 YN2,circle,YELLOW,YANBU NORTH2,69 A
AH28 YN2,AH28 YN2,circle,YELLOW,YANBU NORTH2,70 A
AH29 YN2,AH29 YN2,circle,YELLOW,YANBU NORTH2,71 A
AH30 YN2,AH30 YN2,circle,YELLOW,YANBU NORTH2,72 A
AH31 YN2,AH31 YN2,circle,YELLOW,YANBU NORTH2,73 A
AH32 YN2,AH32 YN2,circle,YELLOW,YANBU NORTH2,74 A
