id,label,shape,color,grid,load
AH2 YN,AH2 YN,circle,BLUE,YANBU NORTH,15 A
AH4 YN,AH4 YN,circle,BLUE,YANBU NORTH,16 A
AH5 YN,AH5 YN,circle,BLUE,YANBU NORTH,17 A
AH6 YN,AH6 YN,circle,BLUE,YANBU NORTH,18 A
AH7 YN,AH7 YN,circle,BLUE,YANBU NORTH,19 A
AH9 YN,AH9 YN,circle,BLUE,YANBU NORTH,20 A
AH10 YN,AH10 YN,circle,BLUE,YANBU NORTH,21 A
AH11 YN,AH11 YN,circle,BLUE,YANBU NORTH,22 A
AH12 YN,AH12 YN,circle,BLUE,YANBU NORTH,23 A
AH13 YN,AH13 YN,circle,BLUE,YANBU NORTH,24 A
AH15 YN,AH15 YN,circle,BLUE,YANBU NORTH,25 A
AH16 YN,AH16 YN,circle,BLUE,YANBU NORTH,26 A
AH17 YN,AH17 YN,circle,BLUE,YANBU NORTH,27 A
AH18 YN,AH18 YN,circle,BLUE,YANBU NORTH,28 A
AH19 YN,AH19 YN,circle,BLUE,YANBU NORTH,29 A
AH21 YN,AH21 YN,circle,BLUE,YANBU NORTH,30 A
AH22 YN,AH22 YN,circle,BLUE,YANBU NORTH,31 A
AH23 YN,AH23 YN,circle,BLUE,YANBU NORTH,32 A
AH24 YN,AH24 YN,circle,BLUE,YANBU NORTH,33 A
AH26 YN,AH26 YN,circle,BLUE,YANBU NORTH,34 A
AH29 YN,AH29 YN,circle,BLUE,YANBU NORTH,35 A
AH31 YN,AH31 YN,circle,BLUE,YANBU NORTH,36 A
AH32 YN,AH32 YN,circle,BLUE,YANBU NORTH,37 A
AH33 YN,AH33 YN,circle,BLUE,YANBU NORTH,38 A
AH34 YN,AH34 YN,circle,BLUE,YANBU NORTH,39 A
AH36 YN,AH36 YN,circle,BLUE,YANBU NORTH,40 A
AH37 YN,AH37 YN,circle,BLUE,YANBU NORTH,41 A
AH38 YN,AH38 YN,circle,BLUE,YANBU NORTH,42 A
AH39 YN,AH39 YN,circle,BLUE,YANBU NORTH,43 A
AH4 YN2,AH4 YN2,circle,YELLOW,YANBU NORTH2,44 A
AH5 YN2,AH5 YN2,circle,YELLOW,YANBU NORTH2,45 A
AH6 YN2,AH6 YN2,circle,YELLOW,YANBU NORTH2,46 A
AH7 YN2,AH7 YN2,circle,YELLOW,YANBU NORTH2,47 A
AH8 YN2,AH8 YN2,circle,YELLOW,YANBU NORTH2,48 A
AH10 YN2,AH10 YN2,circle,YELLOW,YANBU NORTH2,49 A
AH11 YN2,AH11 YN2,circle,YELLOW,YANBU NORTH2,50 A
AH12 YN2,AH12 YN2,circle,YELLOW,YANBU NORTH2,51 A
AH13 YN2,AH13 YN2,circle,YELLOW,YANBU NORTH2,52 A
AH14 YN2,AH14 YN2,circle,YELLOW,YANBU NORTH2,53 A
AH15 YN2,AH15 YN2,circle,YELLOW,YANBU NORTH2,54 A
AH20 YN2,AH20 YN2,circle,YELLOW,YANBU NORTH2,55 A
AH21 YN2,AH21 YN2,circle,YELLOW,YANBU NORTH2,56 A
AH22 YN2,AH22 YN2,circle,YELLOW,YANBU NORTH2,57 A
AH23 YN2,AH23 YN2,circle,YELLOW,YANBU NORTH2,58 A
AH24 YN2,AH24 YN2,circle,YELLOW,YANBU NORTH2,59 A
AH25 YN2,AH25 YN2,circle,YELLOW,YANBU NORTH2,60 A
AH28 YN2,AH28 YN2,circle,YELLOW,YANBU NORTH2,61 A
AH29 YN2,AH29 YN2,circle,YELLOW,YANBU NORTH2,62 A
AH30 YN2,AH30 YN2,circle,YELLOW,YANBU NORTH2,63 A
AH31 YN2,AH31 YN2,circle,YELLOW,YANBU NORTH2,64 A
AH32 YN2,AH32 YN2,circle,YELLOW,YANBU NORTH2,65 A
AH33 YN2,AH33 YN2,circle,YELLOW,YANBU NORTH2,66 A
AH37 YN2,AH37 YN2,circle,YELLOW,YANBU NORTH2,67 A
AH38 YN2,AH38 YN2,circle,YELLOW,YANBU NORTH2,68 A
AH39 YN2,AH39 YN2,circle,YELLOW,YANBU NORTH2,69 A
AH40 YN2,AH40 YN2,circle,YELLOW,YANBU NORTH2,70 A
AH41 YN2,AH41 YN2,circle,YELLOW,YANBU NORTH2,71 A
AH42 YN2,AH42 YN2,circle,YELLOW,YANBU NORTH2,72 A
AH44 YN2,AH44 YN2,circle,YELLOW,YANBU NORTH2,73 A
AH45 YN2,AH45 YN2,circle,YELLOW,YANBU NORTH2,74 A
AH46 YN2,AH46 YN2,circle,YELLOW,YANBU NORTH2,75 A
AH47 YN2,AH47 YN2,circle,YELLOW,YANBU NORTH2,76 A
AH48 YN2,AH48 YN2,circle,YELLOW,YANBU NORTH2,77 A
AH3 YCNT,AH3 YCNT,circle,gray,YANBU CENTRAL,78 A
AH5 YCNT,AH5 YCNT,circle,gray,YANBU CENTRAL,79 A
AH6 YCNT,AH6 YCNT,circle,gray,YANBU CENTRAL,80 A
AH7 YCNT,AH7 YCNT,circle,gray,YANBU CENTRAL,81 A
AH8 YCNT,AH8 YCNT,circle,gray,YANBU CENTRAL,82 A
