id,label,shape,color,grid
AH2 YN,AH2 YN,circle,BLUE,YANBU NORTH
AH4 YN,AH4 YN,circle,BLUE,YANBU NORTH
AH5 YN,AH5 YN,circle,BLUE,YANBU NORTH
AH6 YN,AH6 YN,circle,BLUE,YANBU NORTH
AH7 YN,AH7 YN,circle,BLUE,YANBU NORTH
AH9 YN,AH9 YN,circle,BLUE,YANBU NORTH
AH10 YN,AH10 YN,circle,BLUE,YANBU NORTH
AH11 YN,AH11 YN,circle,BLUE,YANBU NORTH
AH12 YN,AH12 YN,circle,BLUE,YANBU NORTH
AH13 YN,AH13 YN,circle,BLUE,YANBU NORTH
AH15 YN,AH15 YN,circle,BLUE,YANBU NORTH
AH16 YN,AH16 YN,circle,BLUE,YANBU NORTH
AH17 YN,AH17 YN,circle,BLUE,YANBU NORTH
AH18 YN,AH18 YN,circle,BLUE,YANBU NORTH
AH19 YN,AH19 YN,circle,BLUE,YANBU NORTH
AH21 YN,AH21 YN,circle,BLUE,YANBU NORTH
AH22 YN,AH22 YN,circle,BLUE,YANBU NORTH
AH23 YN,AH23 YN,circle,BLUE,YANBU NORTH
AH24 YN,AH24 YN,circle,BLUE,YANBU NORTH
AH25 YN,AH25 YN,circle,BLUE,YANBU NORTH
AH26 YN,AH26 YN,circle,BLUE,YANBU NORTH
AH29 YN,AH29 YN,circle,BLUE,YANBU NORTH
AH31 YN,AH31 YN,circle,BLUE,YANBU NORTH
AH32 YN,AH32 YN,circle,BLUE,YANBU NORTH
AH33 YN,AH33 YN,circle,BLUE,YANBU NORTH
AH34 YN,AH34 YN,circle,BLUE,YANBU NORTH
AH36 YN,AH36 YN,circle,BLUE,YANBU NORTH
AH37 YN,AH37 YN,circle,BLUE,YANBU NORTH
AH38 YN,AH38 YN,circle,BLUE,YANBU NORTH
AH39 YN,AH39 YN,circle,BLUE,YANBU NORTH
AH4 YN2,AH4 YN2,circle,YELLOW,YANBU NORTH2
AH5 YN2,AH5 YN2,circle,YELLOW,YANBU NORTH2
AH6 YN2,AH6 YN2,circle,YELLOW,YANBU NORTH2
AH7 YN2,AH7 YN2,circle,YELLOW,YANBU NORTH2
AH8 YN2,AH8 YN2,circle,YELLOW,YANBU NORTH2
AH10 YN2,AH10 YN2,circle,YELLOW,YANBU NORTH2
AH11 YN2,AH11 YN2,circle,YELLOW,YANBU NORTH2
AH12 YN2,AH12 YN2,circle,YELLOW,YANBU NORTH2
AH13 YN2,AH13 YN2,circle,YELLOW,YANBU NORTH2
AH14 YN2,AH14 YN2,circle,YELLOW,YANBU NORTH2
AH20 YN2,AH20 YN2,circle,YELLOW,YANBU NORTH2
AH21 YN2,AH21 YN2,circle,YELLOW,YANBU NORTH2
AH22 YN2,AH22 YN2,circle,YELLOW,YANBU NORTH2
AH23 YN2,AH23 YN2,circle,YELLOW,YANBU NORTH2
AH24 YN2,AH24 YN2,circle,YELLOW,YANBU NORTH2
AH25 YN2,AH25 YN2,circle,YELLOW,YANBU NORTH2
AH28 YN2,AH28 YN2,circle,YELLOW,YANBU NORTH2
AH29 YN2,AH29 YN2,circle,YELLOW,YANBU NORTH2
AH30 YN2,AH30 YN2,circle,YELLOW,YANBU NORTH2
AH31 YN2,AH31 YN2,circle,YELLOW,YANBU NORTH2
AH32 YN2,AH32 YN2,circle,YELLOW,YANBU NORTH2
AH37 YN2,AH37 YN2,circle,YELLOW,YANBU NORTH2
AH38 YN2,AH38 YN2,circle,YELLOW,YANBU NORTH2
AH39 YN2,AH39 YN2,circle,YELLOW,YANBU NORTH2
AH40 YN2,AH40 YN2,circle,YELLOW,YANBU NORTH2
AH41 YN2,AH41 YN2,circle,YELLOW,YANBU NORTH2
AH42 YN2,AH42 YN2,circle,YELLOW,YANBU NORTH2
AH44 YN2,AH44 YN2,circle,YELLOW,YANBU NORTH2
AH46 YN2,AH46 YN2,circle,YELLOW,YANBU NORTH2
AH47 YN2,AH47 YN2,circle,YELLOW,YANBU NORTH2
K1 YE,K1 YE,circle,red,YANBU EAST
K2 YE,K2 YE,circle,red,YANBU EAST
K3 YE,K3 YE,circle,red,YANBU EAST
K4 YE,K4 YE,circle,red,YANBU EAST
K5 YE,K5 YE,circle,red,YANBU EAST
K7 YE,K7 YE,circle,red,YANBU EAST
K9 YE,K9 YE,circle,red,YANBU EAST
K10 YE,K10 YE,circle,red,YANBU EAST
K11 YE,K11 YE,circle,red,YANBU EAST
K12 YE,K12 YE,circle,red,YANBU EAST
K13 YE,K13 YE,circle,red,YANBU EAST
K14 YE,K14 YE,circle,red,YANBU EAST
K15 YE,K15 YE,circle,red,YANBU EAST
K16 YE,K16 YE,circle,red,YANBU EAST
K17 YE,K17 YE,circle,red,YANBU EAST
K21 YE,K21 YE,circle,red,YANBU EAST
K22 YE,K22 YE,circle,red,YANBU EAST
K23 YE,K23 YE,circle,red,YANBU EAST
K24 YE,K24 YE,circle,red,YANBU EAST
K27 YE,K27 YE,circle,red,YANBU EAST
K31 YE,K31 YE,circle,red,YANBU EAST
K32 YE,K32 YE,circle,red,YANBU EAST
K33 YE,K33 YE,circle,red,YANBU EAST
K34 YE,K34 YE,circle,red,YANBU EAST
K35 YE,K35 YE,circle,red,YANBU EAST
K37 YE,K37 YE,circle,red,YANBU EAST
K38 YE,K38 YE,circle,red,YANBU EAST
K39 YE,K39 YE,circle,red,YANBU EAST
K40 YE,K40 YE,circle,red,YANBU EAST
K41 YE,K41 YE,circle,red,YANBU EAST
AH4 YC,AH4 YC,circle,green,YANBU CITY
AH5 YC,AH5 YC,circle,green,YANBU CITY
AH6 YC,AH6 YC,circle,green,YANBU CITY
AH7 YC,AH7 YC,circle,green,YANBU CITY
AH8 YC,AH8 YC,circle,green,YANBU CITY
AH9 YC,AH9 YC,circle,green,YANBU CITY
AH11 YC,AH11 YC,circle,green,YANBU CITY
AH12 YC,AH12 YC,circle,green,YANBU CITY
AH13 YC,AH13 YC,circle,green,YANBU CITY
AH14 YC,AH14 YC,circle,green,YANBU CITY
AH15 YC,AH15 YC,circle,green,YANBU CITY
AH21 YC,AH21 YC,circle,green,YANBU CITY
AH22 YC,AH22 YC,circle,green,YANBU CITY
AH23 YC,AH23 YC,circle,green,YANBU CITY
